position,equipe,points,victoires,defaites,buts_pour
1,Paris Saint Germain,84,26,2,92
2,Marseille,65,20,9,74
3,Monaco,61,18,9,63
4,Nice,60,17,8,66
5,Lille,60,17,8,52
6,Lyon,57,17,11,65
7,Strasbourg,57,16,9,56
8,Lens,52,15,12,42
9,Stade Brestois 29,50,15,14,52
10,Toulouse,42,11,14,44
11,Auxerre,42,11,14,48
12,Rennes,41,13,19,51
13,Nantes,36,8,14,39
14,Angers,36,10,18,32
15,Le Havre,34,10,20,40
16,Reims,33,8,17,33
17,Saint Etienne,30,8,20,39
18,Montpellier,16,4,26,23
